[Thu May 12 23:04:54.254706 2022] [proxy_fcgi:error] [pid 2215] [client 127.0.0.1:52843] AH01071: Got error 'PHP message: PHP Warning:  require(/var/www/html/activedirectory/config.php): failed to open stream: Permission denied in /var/www/html/activedirectory/admin/index.php on line 88PHP message: PHP Fatal error:  require(): Failed opening required '../config.php' (include_path='.:/usr/share/php') in /var/www/html/activedirectory/admin/index.php on line 88', referer: http://activedirectory.test/admin/tool/installaddon/index.php?installzipcomponent=block_microsoft&installzipstorage=627dd688b2d37&sesskey=id74iRqf9z
[Thu May 12 23:07:32.804090 2022] [proxy_fcgi:error] [pid 2215] [client 127.0.0.1:52926] AH01067: Failed to read FastCGI header, referer: http://activedirectory.test/admin/index.php?cache=0&confirmrelease=1&confirmplugincheck=1
[Thu May 12 23:07:32.804141 2022] [proxy_fcgi:error] [pid 2215] (70014)End of file found: [client 127.0.0.1:52926] AH01075: Error dispatching request to : , referer: http://activedirectory.test/admin/index.php?cache=0&confirmrelease=1&confirmplugincheck=1
[Thu May 12 23:07:32.911564 2022] [proxy_fcgi:error] [pid 2217] [client 127.0.0.1:52927] AH01067: Failed to read FastCGI header, referer: http://activedirectory.test/admin/index.php?cache=0&confirmrelease=1&confirmplugincheck=1
[Thu May 12 23:07:32.911614 2022] [proxy_fcgi:error] [pid 2217] (70014)End of file found: [client 127.0.0.1:52927] AH01075: Error dispatching request to : , referer: http://activedirectory.test/admin/index.php?cache=0&confirmrelease=1&confirmplugincheck=1
[Thu May 12 23:07:32.912101 2022] [proxy_fcgi:error] [pid 2218] [client 127.0.0.1:52924] AH01067: Failed to read FastCGI header, referer: http://activedirectory.test/admin/index.php?cache=0&confirmrelease=1&confirmplugincheck=1
[Thu May 12 23:07:32.912132 2022] [proxy_fcgi:error] [pid 2218] (70014)End of file found: [client 127.0.0.1:52924] AH01075: Error dispatching request to : , referer: http://activedirectory.test/admin/index.php?cache=0&confirmrelease=1&confirmplugincheck=1
[Thu May 12 23:07:32.938475 2022] [proxy_fcgi:error] [pid 2219] [client 127.0.0.1:52928] AH01067: Failed to read FastCGI header, referer: http://activedirectory.test/admin/index.php?cache=0&confirmrelease=1&confirmplugincheck=1
[Thu May 12 23:07:32.938521 2022] [proxy_fcgi:error] [pid 2219] (70014)End of file found: [client 127.0.0.1:52928] AH01075: Error dispatching request to : , referer: http://activedirectory.test/admin/index.php?cache=0&confirmrelease=1&confirmplugincheck=1
[Thu May 12 23:07:32.943072 2022] [proxy_fcgi:error] [pid 2236] [client 127.0.0.1:52929] AH01067: Failed to read FastCGI header, referer: http://activedirectory.test/admin/index.php?cache=0&confirmrelease=1&confirmplugincheck=1
[Thu May 12 23:07:32.943134 2022] [proxy_fcgi:error] [pid 2236] (70014)End of file found: [client 127.0.0.1:52929] AH01075: Error dispatching request to : , referer: http://activedirectory.test/admin/index.php?cache=0&confirmrelease=1&confirmplugincheck=1
